0,macbeth
0,a mid summer nights dream
0,as you like it
0,harry potter and the cursed child
0,broom of the system
0,the song of achilles
0,artemis
0,old school
0,the overstory
0,skinny legs and all
0,dune
0,the two towers
0,the fellowship of the ring
0,the return of the king
0,the hobbit
0,back to moscow
0,after the quake
0,norwegian wood
0,kafka on the shore
0,a little life
0,samedi the deafness
0,the five people you meet in heaven
0,agnes
0,of mice and men
0,cat’s cradle
0,native son
0,a farewell to arms
0,island in the stream
0,a story of days to come
0,the mutiny of the elsinor
0,sherlock holmes volume 2
0,brave new world
0,a journey to the center of the earth
0,the beautiful and damned
0,collected short stories of f scott fitzgerald
0,the last tycoon
0,the great gatsby
0,outer dark
0,the road
0,to kill a mockingbird
0,social
0,other minds
0,marx a very short intro
0,autobiography of benjamin franklin
0,citizen tom paine
0,spartacus
0,permanent record
0,antisocial
0,python programming and introduction to computer science
0,how to win friends and influence people
0,the book of survival
0,the artists way
0,complete chess course
4,pillowman
1,strange planet
2,cider house rules
2,voroshilovgrad
2,tracks
1,a heartbreaking work of staggering genius
1,jitterbug perfume
1,everything is illuminated
1,the silmarillion
1,the last wish
4,the door
3,the corrections
2,black sun
2,gulliver’s travels
1,a tree grows in brooklyn
3,in cold blood
4,the odyssey
1,ende einer dienstfahrt
2,complete short stories kafka
1,call of cthulu and other weird stories
1,in american fields and streams
1,robinson crusoe
1,uncle toms cabin
2,tarzan of the apes
1,east of eden
1,ann veronica
1,the sea wolf
1,the count of monte cristo
4,the prophet
4,the epic of gilgamesh
1,the brothers karamazov
3,blood meridian
1,the prince
1,racism
4,malcom x
2,on anarchism
4,locking up our own
4,the shock doctrine
1,a brief history of thought
1,how to create a mind
2,in the dust of this planet
3,common sense for the 21st century
3,inconspicuous consumption
1,the system of the world
2,emergence
4,state and revolution
4,israel
1,the constitution
2,greek historians
1,the art of thinking clearly
1,donald judd writings
1,a philosophy of pessimism
1,the decision book
1,aristotle selections
1,emerson’s essays
1,major works ludwig wittgenstein
1,the inferno
1,the last days of socrates
4,feminist city
1,the name of the rose
1,captivity
1,terra nostra
1,cosmos
3,war in the age of trump
4,fortunes of feminism
2,minima moralia
2,splinters only your eye
4,radical hamilton
1,when is the digital in architecture?
1,the ten day mba
2,economics in two lessons
1,infinite jest
1,the idea factory
1,the wealth of nations
1,a chess opening repertoire for blitz and rapid
2,for the love of men
1,300 danske design mobler
1,master support
1,clay portfolio
1,the age of reason
1,how to write a great business plan
1,what’s the best move
1,the art of war
1,mythology
1,the good psychopath’s guide to success
1,the pdt cocktail book
1,start with why
1,the southwestern journals of zebulon pike
1,classic computer science problems in python
4,the broken wings
4,no friend but the mountains
1,richer
1,bridgman
1,figure drawing